"","Station","Grid.ID","Latitude.N.","Longitude..W.","Gear.Sampled"
"1",23,"hf131",54.3585,-158.6662,"CTD"
"2",39,"hd139",54.9631,-158.0877,"CTD"
"3",52,"hh141",54.8463,-157.4535,"CTD"
"4",53,"hh143",54.9791,-157.226,"CTD"
"5",54,"hf143",55.0939,-157.4497,"CTD"
"6",56,"hb143",55.3234,-157.8991,"CTD"
"7",58,"gx143",55.553,-158.3513,"CTD"
"8",119,"gv159",56.6354,-156.9298,"CALVET, CTD"
"9",120,"gv161",56.7564,-156.7208,"CALVET, CTD"
"10",121,"gx161",56.6416,-156.4991,"CALVET, CTD"
"11",122,"gz161",56.5268,-156.2781,"CALVET, CTD"
"12",123,"hb161",56.412,-156.0578,"CALVET, CTD"
"13",124,"hd161",56.2973,-155.8382,"CTD"
"14",159,"gv175",57.6031,-155.2383,"CTD"
"15",160,"FOX61",57.72,-155.26,"CTD"
"16",161,"FOX60",57.68,-155.17,"CTD"
"17",162,"FOX59",57.64,-155.07,"CTD"
"18",163,"FOX58",57.61,-155.01,"CTD"
"19",164,"FOX57",57.55,-154.88,"CTD"
