"","Station","Grid.ID","LAT","LON","Gear.Sampled","Mean_Z"
"1",0,"DH",53.8746,-166.5423,"Port",NA
"2",1,"GF105",54.2879,-164.2684,"BONGO",69.3516483516484
"3",2,"GH105",54.1731,-164.0241,"BONGO",64.3928571428571
"4",3,"GJ105",54.0583,-163.7806,"BONGO",73.6
"5",4,"GJ107",54.1793,-163.5848,"BONGO",78.8571428571429
"6",5,"GH107",54.2941,-163.8277,"BONGO",102.878378378378
"7",6,"GF107",54.4089,-164.0715,"BONGO",96.5409836065574
"8",7,"HD135",54.7216,-158.4858,"BONGO",169.464285714286
"9",8,"HB135",54.8396,-158.7012,"BONGO",93.3846153846154
"10",9,"GZ135",54.9544,-158.9293,"BONGO",77.0595238095238
"11",10,"GX135",55.0692,-159.1581,"BONGO",65.3611111111111
"12",11,"GT135",55.2988,-159.618,"BONGO",121.827160493827
"13",12,"GR135",55.4135,-159.849,"BONGO",99.5512820512821
"14",13,"GT137",55.4197,-159.416,"BONGO",131
"15",14,"GV137",55.3049,-159.1863,"BONGO",174.808695652174
"16",15,"GX137",55.1901,-158.9574,"BONGO",167.276595744681
"17",16,"GZ137",55.0754,-158.7291,"BONGO",176.463768115942
"18",17,"HB137",54.9606,-158.5016,"BONGO",163.205882352941
"19",18,"HD137",54.8426,-158.2867,"BONGO",188.865384615385
"20",19,"HF137",54.7235,-158.0691,"BONGO",133.466666666667
"21",20,"HF139",54.8444,-157.8701,"BONGO",130.285714285714
"22",21,"HD139",54.9631,-158.0877,"BONGO",106.923076923077
"23",22,"HB139",55.0815,-158.3014,"BONGO",165.711340206186
"24",23,"GZ139",55.1963,-158.5283,"BONGO",190.301204819277
"25",24,"GX139",55.3111,-158.756,"BONGO",177.937007874016
"26",25,"GV139",55.4259,-158.9844,"BONGO",150.861111111111
"27",26,"GT139",55.5407,-159.2135,"BONGO",87.2857142857143
"28",27,"GT141",55.6616,-159.0103,"BONGO",140.74358974359
"29",28,"GV141",55.5468,-158.7818,"BONGO",144.754716981132
"30",29,"GX141",55.4321,-158.554,"BONGO",141.175
"31",30,"GZ141",55.3173,-158.3269,"BONGO",192.517647058824
"32",31,"HB141",55.2025,-158.1006,"BONGO",94.4489795918367
"33",32,"HD141",55.0834,-157.8887,"BONGO",70.6760563380282
"34",33,"HF141",54.965,-157.6711,"BONGO",97.5925925925926
"35",34,"HH141",54.8463,-157.4535,"BONGO",245.625
"36",35,"HH143",54.9791,-157.226,"BONGO",276.218181818182
"37",36,"HF143",55.0939,-157.4497,"BONGO",74.3271028037383
"38",37,"HD143",55.2087,-157.674,"BONGO",73.2857142857143
"39",38,"HB143",55.3234,-157.8991,"BONGO",76.008
"40",39,"GZ143",55.4382,-158.1249,"BONGO",114.73
"41",40,"GX143",55.553,-158.3513,"BONGO",132.795454545455
"42",41,"GV143",55.6678,-158.5786,"BONGO",102.754901960784
"43",42,"GT145",55.9035,-158.6021,"BONGO",97.7352941176471
"44",43,"GV145",55.7888,-158.3747,"BONGO",107.776785714286
"45",44,"GX145",55.674,-158.1481,"BONGO",118.589743589744
"46",45,"GZ145",55.5592,-157.9222,"BONGO",122.373831775701
"47",46,"HB145",55.4444,-157.6971,"BONGO",83.7142857142857
"48",47,"HD145",55.3296,-157.4726,"BONGO",79.125
"49",48,"HF145",55.2148,-157.2488,"BONGO",93.8484848484848
"50",49,"HH145",55.1,-157.0257,"BONGO",233
"51",50,"HJ145",54.9853,-156.8033,"BONGO",981.95
"52",51,"HJ147",55.1062,-156.603,"BONGO",848.347826086957
"53",52,"HH147",55.221,-156.8248,"BONGO",107.212121212121
"54",53,"HF147",55.3358,-157.0473,"BONGO",86.5892857142857
"55",54,"HD147",55.4506,-157.2705,"BONGO",79.6666666666667
"56",55,"HB147",55.5654,-157.4944,"BONGO",89.5592105263158
"57",56,"GZ147",55.6801,-157.7189,"BONGO",127.142857142857
"58",57,"GX147",55.7949,-157.9442,"BONGO",109.280575539568
"59",58,"GV147",55.9097,-158.1702,"BONGO",176.202380952381
"60",59,"GV149",56.0307,-157.9651,"BONGO",124.141732283465
"61",60,"GX149",55.9159,-157.7397,"BONGO",73.4
"62",61,"GZ149",55.8011,-157.515,"BONGO",97.6279069767442
"63",62,"HB149",55.6863,-157.2911,"BONGO",84.5090909090909
"64",63,"HD149",55.5715,-157.0678,"BONGO",75.7448979591837
"65",64,"HF149",55.4567,-156.8452,"BONGO",85.2745098039216
"66",65,"HH149",55.342,-156.6232,"BONGO",122.851851851852
"67",66,"HJ149",55.2272,-156.402,"BONGO",197.381818181818
"68",67,"HJ151",55.3481,-156.2004,"BONGO",180.575757575758
"69",68,"HH151",55.4629,-156.4211,"BONGO",190.888888888889
"70",69,"HF151",55.5777,-156.6424,"BONGO",214.052325581395
"71",70,"HD151",55.6925,-156.8644,"BONGO",85.8301886792453
"72",71,"HB151",55.8073,-157.0871,"BONGO",85.2926829268293
"73",72,"GZ151",55.9221,-157.3105,"BONGO",95.0485436893204
"74",73,"GX151",56.0368,-157.5346,"BONGO",97.7926829268293
"75",74,"GV151",56.1516,-157.7594,"BONGO",136.034482758621
"76",75,"GV153",56.2726,-157.553,"BONGO",125.028248587571
"77",76,"GX153",56.1578,-157.3288,"BONGO",145.537190082645
"78",77,"GZ153",56.043,-157.1053,"BONGO",100.725388601036
"79",78,"HB153",55.9282,-156.8826,"BONGO",144.105691056911
"80",79,"HD153",55.8134,-156.6605,"BONGO",213.336842105263
"81",80,"HF153",55.6987,-156.439,"BONGO",230.41935483871
"82",81,"HH153",55.5839,-156.2183,"BONGO",237.706293706294
"83",82,"HJ153",55.4691,-155.9982,"BONGO",195.675
"84",83,"HJ155",55.59,-155.7954,"BONGO",186.848484848485
"85",84,"HH155",55.7048,-156.0149,"BONGO",204.364864864865
"86",85,"HF155",55.8196,-156.235,"BONGO",220.314285714286
"87",86,"HD155",55.9344,-156.4559,"BONGO",192.83185840708
"88",87,"GZ155",56.164,-156.8995,"BONGO",69.4105263157895
"89",88,"GX155",56.2787,-157.1224,"BONGO",111.341317365269
"90",89,"GV155",56.3935,-157.3459,"BONGO",48.7326732673267
"91",90,"GX157",56.3997,-156.9153,"BONGO",116.892857142857
"92",91,"GZ157",56.2849,-156.693,"BONGO",97.5204081632653
"93",92,"HB157",56.1701,-156.4715,"BONGO",221.909836065574
"94",93,"HD157",56.0554,-156.2506,"BONGO",203.692708333333
"95",94,"HF157",55.9406,-156.0304,"BONGO",86.0720720720721
"96",95,"HH157",55.8258,-155.8109,"BONGO",54.9272727272727
"97",96,"HF159",56.0615,-155.8251,"BONGO",55.9602649006623
"98",97,"HD159",56.1763,-156.0447,"BONGO",220.423076923077
"99",98,"HB159",56.2911,-156.265,"BONGO",261.834146341463
"100",99,"GZ159",56.4059,-156.4859,"BONGO",206.63503649635
"101",100,"GX159",56.5207,-156.7075,"BONGO",148.494791666667
"102",101,"GV159",56.6354,-156.9298,"BONGO",91.8073394495413
"103",102,"GV161",56.7564,-156.7208,"BONGO,CTD",135.541666666667
"104",103,"GX161",56.6416,-156.4991,"BONGO,CTD",175.924369747899
"105",104,"GZ161",56.5268,-156.2781,"BONGO,CTD",222.703862660944
"106",105,"HB161",56.412,-156.0578,"BONGO,CTD",236.314960629921
