"","Station","Grid.ID","Latitude.N.","Longitude..W.","Gear.Sampled","Mean_Z"
"1",0,"DH",53.8746,166.5423,"",NA
"2",1,"GF105",54.2879,164.2684,"",79.3516483516484
"3",2,"GH105",54.1731,164.0241,"",74.3928571428571
"4",3,"GJ105",54.0583,163.7806,"",83.6
"5",4,"GJ107",54.1793,163.5848,"",88.8571428571429
"6",5,"GH107",54.2941,163.8277,"",112.878378378378
"7",6,"GF107",54.4089,164.0715,"",106.540983606557
"8",7,"GN123",54.9174,161.5226,"",127.243243243243
"9",8,"GP123",54.8026,161.2865,"",70.7027027027027
"10",9,"GR123",54.6878,161.0513,"",75.3
"11",10,"GR125",54.8088,160.8524,"",94.7752808988764
"12",11,"GP125",54.9235,161.0871,"",107.071428571429
"13",12,"GN125",55.0383,161.3226,"",65.9411764705882
"14",13,"GN127",55.1593,161.1219,"",67.5714285714286
"15",14,"GP127",55.0445,160.887,"",85.9306930693069
"16",15,"GR127",54.9297,160.6529,"",88.775
"17",16,"GZ127",54.4706,159.7241,"",137
"18",17,"HB127",54.3547,159.4994,"",572.941176470588
"19",18,"HB129",54.4768,159.3004,"",190.5
"20",19,"GZ129",54.5915,159.5263,"",84.9666666666667
"21",20,"GZ131",54.7125,159.3279,"",64.0476190476191
"22",21,"HB131",54.5985,159.1014,"",104.744186046512
"23",22,"HD131",54.4786,158.8838,"",505.578947368421
"24",23,"HF131",54.3585,158.6662,"",825.411764705882
"25",24,"HF135",54.6022,158.2681,"CTD",629.815789473684
"26",25,"HD135",54.7216,158.4858,"",179.464285714286
"27",26,"HB135",54.8396,158.7012,"",103.384615384615
"28",27,"GZ135",54.9544,158.9293,"",87.0595238095238
"29",28,"GX135",55.0692,159.1581,"",75.3611111111111
"30",29,"GT135",55.2988,159.618,"",131.827160493827
"31",30,"GR135",55.4135,159.849,"",109.551282051282
"32",31,"GT137",55.4197,159.416,"",141
"33",32,"GV137",55.3049,159.1863,"",184.808695652174
"34",33,"GX137",55.1901,158.9574,"",177.276595744681
"35",34,"GZ137",55.0754,158.7291,"",186.463768115942
"36",35,"HB137",54.9606,158.5016,"",173.205882352941
"37",36,"HD137",54.8426,158.2867,"",198.865384615385
"38",37,"HF137",54.7235,158.0691,"",143.466666666667
"39",38,"HF139",54.8444,157.8701,"",140.285714285714
"40",39,"HD139",54.9631,158.0877,"",116.923076923077
"41",40,"HB139",55.0815,158.3014,"CTD",175.711340206186
"42",41,"GZ139",55.1963,158.5283,"",200.301204819277
"43",42,"GX139",55.3111,158.756,"",187.937007874016
"44",43,"GV139",55.4259,158.9844,"",160.861111111111
"45",44,"GT139",55.5407,159.2135,"",97.2857142857143
"46",45,"GT141",55.6616,159.0103,"",150.74358974359
"47",46,"GV141",55.5468,158.7818,"",154.754716981132
"48",47,"GX141",55.4321,158.554,"",151.175
