Grid.ID,lat,long,Gear.Sampled2,Stn_Order
gf105,54.2879,-164.2684,BONGO,1
gh105,54.1731,-164.0241,BONGO,2
gj105,54.0583,-163.7806,BONGO,3
gj107,54.1793,-163.5848,BONGO,4
gh107,54.2941,-163.8277,BONGO,5
gf107,54.4089,-164.0715,BONGO,6
gn123,54.9174,-161.5226,BONGO,7
gp123,54.8026,-161.2865,BONGO,8
gr123,54.6878,-161.0513,BONGO,9
hf135,54.6022,-158.2681,BONGO,10
hd135,54.7216,-158.4858,BONGO,11
hb135,54.8396,-158.7012,BONGO,12
gz135,54.9544,-158.9293,BONGO,13
gx135,55.0692,-159.1581,BONGO,14
gv143,55.6678,-158.5786,"BONGO,CTD",15
gx143,55.553,-158.3513,BONGO,16
gz143,55.4382,-158.1249,"BONGO,CTD",17
hb143,55.3234,-157.8991,BONGO,18
hd143,55.2087,-157.674,"BONGO,CTD",19
hf143,55.0939,-157.4497,"BONGO,CTD",20
hh143,54.9791,-157.226,"BONGO,CTD",21
hj149,55.2272,-156.402,BONGO,22
hh149,55.342,-156.6232,BONGO,23
hf149,55.4567,-156.8452,BONGO,24
hd149,55.5715,-157.0678,BONGO,25
hb149,55.6863,-157.2911,BONGO,26
gz149,55.8011,-157.515,BONGO,27
gx149,55.9159,-157.7397,BONGO,28
gv149,56.0307,-157.9651,BONGO,29
gv151,56.1516,-157.7594,BONGO,30
gx151,56.0368,-157.5346,BONGO,31
gz151,55.9221,-157.3105,BONGO,32
hb151,55.8073,-157.0871,BONGO,33
hd151,55.6925,-156.8644,BONGO,34
hf151,55.5777,-156.6424,BONGO,35
hh151,55.4629,-156.4211,BONGO,36
hj151,55.3481,-156.2004,BONGO,37
hj153,55.4691,-155.9982,BONGO,38
hh153,55.5839,-156.2183,BONGO,39
hf153,55.6987,-156.439,BONGO,40
hd153,55.8134,-156.6605,BONGO,41
hb153,55.9282,-156.8826,BONGO,42
gz153,56.043,-157.1053,BONGO,43
gx153,56.1578,-157.3288,BONGO,44
gv153,56.2726,-157.553,BONGO,45
gv155,56.3935,-157.3459,BONGO,46
gx155,56.2787,-157.1224,BONGO,47
gz155,56.164,-156.8995,BONGO,48
hd155,55.9344,-156.4559,BONGO,49
hf155,55.8196,-156.235,BONGO,50
hh155,55.7048,-156.0149,BONGO,51
hj155,55.59,-155.7954,BONGO,52
hh157,55.8258,-155.8109,BONGO,53
