"","Station","Grid Station","LAT","LON","Gear.Sampled","Est.Station Time"
"1",1,"gf105",54.2879,-164.2684,"BONGO",2023-09-01 08:19:38.428922
"2",2,"gf107",54.4089,-164.0715,"BONGO",2023-09-01 09:34:10.359847
"3",3,"gh107",54.2941,-163.8277,"BONGO",2023-09-01 10:53:56.497567
"4",4,"gh105",54.1731,-164.0241,"BONGO",2023-09-01 12:08:28.767278
"5",5,"gj105",54.0583,-163.7806,"BONGO",2023-09-01 13:28:24.626403
"6",6,"gj107",54.1793,-163.5848,"BONGO",2023-09-01 14:42:56.410309
"7",7,"gn123",54.9174,-161.5226,"BONGO",2023-09-01 22:44:15.786808
"8",8,"gp123",54.8026,-161.2865,"BONGO",2023-09-02 00:02:27.843709
"9",9,"gr123",54.6878,-161.0513,"BONGO",2023-09-02 01:20:37.856546
"10",10,"hf135",54.6022,-158.2681,"BONGO",2023-09-02 10:30:19.760591
"11",11,"hd135",54.7216,-158.4858,"BONGO",2023-09-02 11:47:05.302106
"12",12,"hb135",54.8396,-158.7012,"BONGO",2023-09-02 13:03:07.691583
"13",13,"gz135",54.9544,-158.9293,"BONGO",2023-09-02 14:20:09.056261
"14",14,"gx135",55.0692,-159.1581,"BONGO",2023-09-02 15:37:10.865686
"15",15,"gv143",55.6678,-158.5786,"BONGO,CTD",2023-09-02 20:11:06.745338
"16",16,"gx143",55.553,-158.3513,"BONGO",2023-09-02 21:27:27.187152
"17",17,"gz143",55.4382,-158.1249,"BONGO,CTD",2023-09-02 23:13:45.61413
"18",18,"hb143",55.3234,-157.8991,"BONGO",2023-09-03 00:30:04.48163
"19",19,"hd143",55.2087,-157.674,"BONGO,CTD",2023-09-03 02:16:21.602511
"20",20,"hf143",55.0939,-157.4497,"BONGO,CTD",2023-09-03 04:02:38.715575
"21",21,"hh143",54.9791,-157.226,"BONGO,CTD",2023-09-03 05:48:56.15175
"22",22,"hj149",55.2272,-156.402,"BONGO",2023-09-03 09:03:42.028219
"23",23,"hh149",55.342,-156.6232,"BONGO",2023-09-03 10:19:27.058183
"24",24,"hf149",55.4567,-156.8452,"BONGO",2023-09-03 11:35:12.116959
"25",25,"hd149",55.5715,-157.0678,"BONGO",2023-09-03 12:50:58.151944
"26",26,"hb149",55.6863,-157.2911,"BONGO",2023-09-03 14:06:44.62547
"27",27,"gz149",55.8011,-157.515,"BONGO",2023-09-03 15:22:30.674979
"28",28,"gx149",55.9159,-157.7397,"BONGO",2023-09-03 16:38:17.901943
"29",29,"gv149",56.0307,-157.9651,"BONGO",2023-09-03 17:54:05.443686
"30",30,"gv151",56.1516,-157.7594,"BONGO",2023-09-03 19:08:36.46314
"31",31,"gx151",56.0368,-157.5346,"BONGO",2023-09-03 20:24:13.418524
"32",32,"gz151",55.9221,-157.3105,"BONGO",2023-09-03 21:39:48.741795
"33",33,"hb151",55.8073,-157.0871,"BONGO",2023-09-03 22:55:25.045446
"34",34,"hd151",55.6925,-156.8644,"BONGO",2023-09-04 00:11:00.963823
"35",35,"hf151",55.5777,-156.6424,"BONGO",2023-09-04 01:26:36.455828
"36",36,"hh151",55.4629,-156.4211,"BONGO",2023-09-04 02:42:11.480427
"37",37,"hj151",55.3481,-156.2004,"BONGO",2023-09-04 03:57:46.822771
"38",38,"hj153",55.4691,-155.9982,"BONGO",2023-09-04 05:12:19.540023
"39",39,"hh153",55.5839,-156.2183,"BONGO",2023-09-04 06:27:44.40921
"40",40,"hf153",55.6987,-156.439,"BONGO",2023-09-04 07:43:08.953079
"41",41,"hd153",55.8134,-156.6605,"BONGO",2023-09-04 08:58:33.440225
"42",42,"hb153",55.9282,-156.8826,"BONGO",2023-09-04 10:13:58.858233
"43",43,"gz153",56.043,-157.1053,"BONGO",2023-09-04 11:29:23.83759
"44",44,"gx153",56.1578,-157.3288,"BONGO",2023-09-04 12:44:49.961176
"45",45,"gv153",56.2726,-157.553,"BONGO",2023-09-04 14:00:16.375911
"46",46,"gv155",56.3935,-157.3459,"BONGO",2023-09-04 15:14:48.222099
"47",47,"gx155",56.2787,-157.1224,"BONGO",2023-09-04 16:30:03.348922
"48",48,"gz155",56.164,-156.8995,"BONGO",2023-09-04 17:45:17.661158
"49",49,"hb157",56.1701,-156.4715,"BONGO",2023-09-04 19:23:25.777524
"50",50,"gv159",56.6354,-156.9298,"BONGO",2023-09-04 22:37:05.85561
"51",51,"gz159",56.4059,-156.4859,"BONGO",2023-09-05 00:47:04.866262
"52",52,"hd159",56.1763,-156.0447,"BONGO",2023-09-05 02:57:04.817657
"53",53,"hd161",56.2973,-155.8382,"BONGO",2023-09-05 04:11:37.45576
"54",54,"gz161",56.5268,-156.2781,"BONGO",2023-09-05 06:21:14.656712
"55",55,"hb163",56.533,-155.85,"BONGO",2023-09-05 07:58:39.530108
"56",56,"hd163",56.4182,-155.631,"BONGO",2023-09-05 09:13:12.399991
