"","Station","Station_Time","Steam_T","Arrival_DT","Depart_DT"
"1",0,0,NA,NA,2023-05-14 12:00:00
"2",1,0.33,30163.1243781891s (~8.38 hours),2023-05-14 20:22:43,NA
"3",2,0.33,3957.61971800377s (~1.1 hours),NA,NA
"4",3,0.33,3956.4069760841s (~1.1 hours),NA,NA
"5",4,0.33,3602.13518853833s (~1 hours),NA,NA
"6",5,0.33,3943.50082216392s (~1.1 hours),NA,NA
"7",6,0.33,3945.67335397564s (~1.1 hours),NA,NA
"8",7,0.33,33682.2528171107s (~9.36 hours),NA,NA
"9",8,0.33,3842.49605965436s (~1.07 hours),NA,NA
"10",9,0.33,3840.30328158895s (~1.07 hours),NA,NA
"11",10,0.33,3602.71985601504s (~1 hours),NA,NA
"12",11,0.33,3827.47890908135s (~1.06 hours),NA,NA
"13",12,0.33,3830.10200115195s (~1.06 hours),NA,NA
"14",13,0.33,3603.22717895647s (~1 hours),NA,NA
"15",14,0.33,3817.75547027831s (~1.06 hours),NA,NA
"16",15,0.33,3816.5524231269s (~1.06 hours),NA,NA
"17",16,0.33,15255.4395216829s (~4.24 hours),NA,NA
"18",17,0.33,3774.23374906197s (~1.05 hours),NA,NA
"19",18,0.33,3634.80832555785s (~1.01 hours),NA,NA
"20",19,0.33,3762.10272431602s (~1.05 hours),NA,NA
"21",20,0.33,3602.47556403074s (~1 hours),NA,NA
"22",21,0.33,3751.46403024145s (~1.04 hours),NA,NA
"23",22,0.33,3760.69179881352s (~1.04 hours),NA,NA
"24",23,0.83,3769.47694586524s (~1.05 hours),NA,NA
"25",24,0.33,7257.20098869048s (~2.02 hours),NA,NA
"26",25,0.33,3748.18076760027s (~1.04 hours),NA,NA
"27",26,0.33,3700.81384896816s (~1.03 hours),NA,NA
"28",27,0.33,3765.10686118956s (~1.05 hours),NA,NA
"29",28,0.33,3765.54924199898s (~1.05 hours),NA,NA
"30",29,0.33,7534.08886807837s (~2.09 hours),NA,NA
"31",30,0.33,3766.10658834365s (~1.05 hours),NA,NA
"32",31,0.33,5310.37859313651s (~1.48 hours),NA,NA
"33",32,0.33,3755.19572499521s (~1.04 hours),NA,NA
"34",33,0.33,3753.93678267436s (~1.04 hours),NA,NA
"35",34,0.33,3753.05208894861s (~1.04 hours),NA,NA
"36",35,0.33,3753.11993463722s (~1.04 hours),NA,NA
"37",36,0.33,3690.50032726747s (~1.03 hours),NA,NA
"38",37,0.33,3736.92855442252s (~1.04 hours),NA,NA
"39",38,0.33,3600.50746392822s (~1 hours),NA,NA
"40",39,0.83,3725.10912389133s (~1.03 hours),NA,NA
"41",40,0.33,3679.99728964977s (~1.02 hours),NA,NA
"42",41,0.33,3741.19202418516s (~1.04 hours),NA,NA
"43",42,0.33,3742.52905941223s (~1.04 hours),NA,NA
"44",43,0.33,3742.89583768085s (~1.04 hours),NA,NA
"45",44,0.33,3743.21686543368s (~1.04 hours),NA,NA
"46",45,0.33,3601.13714694406s (~1 hours),NA,NA
"47",46,0.33,3731.29757805332s (~1.04 hours),NA,NA
"48",47,0.33,3729.55197838196s (~1.04 hours),NA,NA
"49",48,0.33,3730.63119952592s (~1.04 hours),NA,NA
"50",49,0.33,3729.31280440015s (~1.04 hours),NA,NA
"51",50,0.33,3668.93426250165s (~1.02 hours),NA,NA
"52",51,0.33,3714.78003203221s (~1.03 hours),NA,NA
"53",52,0.83,3725.01661111225s (~1.03 hours),NA,NA
"54",53,0.83,4025.79038860831s (~1.12 hours),NA,NA
"55",54,0.83,3716.97337775421s (~1.03 hours),NA,NA
