FOCI_GRID,CALVET,LAT,LON2,LON
hd159,"CALVET, 60/20bon",56.1763,156.0447,-156.0447
hb159,"CALVET, 60bon",56.2911,156.265,-156.265
gz159,"CALVET, 60/20bon",56.4059,156.4859,-156.4859
gx159,"CALVET, 60bon",56.5207,156.7075,-156.7075
gv159,"CALVET, 60/20bon",56.6354,156.9298,-156.9298
gv161,"CALVET, 60bon, CTD",56.7564,156.7208,-156.7208
gx161,"CALVET, 60/20bon, CTD",56.6416,156.4991,-156.4991
gz161,"CALVET, 60bon, CTD",56.5268,156.2781,-156.2781
hb161,"CALVET, 60/20bon, CTD",56.412,156.0578,-156.0578
hd161,"CALVET, 60bon, CTD",56.2973,155.8382,-155.8382
hf161,"60/20bon, CTD",56.1825,155.6192,-155.6192
hd163,"CALVET, 60/20bon",56.4182,155.631,-155.631
hb163,"CALVET, 60bon",56.533,155.85,-155.85
gz163,"CALVET, 60/20bon",56.6478,156.0697,-156.0697
gx163,"CALVET, 60bon",56.7626,156.29,-156.29
gv163,"CALVET, 60/20bon",56.8774,156.5111,-156.5111
gv165,"CALVET, 60bon",56.9983,156.3007,-156.3007
gx165,"CALVET, 60/20bon",56.8835,156.0803,-156.0803
gz165,"CALVET, 60bon",56.7687,155.8606,-155.8606
hb165,"CALVET, 60/20bon",56.654,155.6415,-155.6415
hd165,"CALVET, 60bon",56.5392,155.4231,-155.4231
hd167,"CALVET, 60/20bon",56.6601,155.2146,-155.2146
hb167,"CALVET, 60bon",56.7749,155.4324,-155.4324
gz167,"CALVET, 60/20bon",56.8897,155.6508,-155.6508
gx167,"CALVET, 60bon",57.0045,155.8698,-155.8698
gv167,"CALVET, 60/20bon",57.1193,156.0896,-156.0896
