x,y,xy,longitude,latitude
gd,101,gd101,-164.9068,54.16076
gd,103,gd103,-164.7105,54.28172
gf,101,gf101,-164.6606,54.04598
gf,103,gf103,-164.4648,54.16693
gf,105,gf105,-164.2684,54.28789
gf,107,gf107,-164.0715,54.40885
gf,109,gf109,-163.874,54.5298
gh,103,gh103,-164.2199,54.05215
gh,105,gh105,-164.0241,54.17311
gh,107,gh107,-163.8277,54.29406
gh,109,gh109,-163.6307,54.41502
gh,111,gh111,-163.4332,54.53598
gj,105,gj105,-163.7806,54.05832
gj,107,gj107,-163.5848,54.17928
gj,109,gj109,-163.3884,54.30024
gj,111,gj111,-163.1914,54.42119
gj,113,gj113,-162.9938,54.54215
gj,115,gj115,-162.7957,54.66311
gj,117,gj117,-162.5969,54.78406
gl,107,gl107,-163.3427,54.0645
gl,109,gl109,-163.1468,54.18545
gl,111,gl111,-162.9504,54.30641
gl,115,gl115,-162.5558,54.54832
gl,121,gl121,-161.9594,54.91119
gl,123,gl123,-161.7594,55.03215
gl,125,gl125,-161.5588,55.1531
gl,127,gl127,-161.3576,55.27406
gn,109,gn109,-162.9061,54.07067
gn,111,gn111,-162.7102,54.19162
gn,113,gn113,-162.5137,54.31258
gn,115,gn115,-162.3167,54.43354
gn,117,gn117,-162.119,54.55449
gn,119,gn119,-161.9208,54.67545
gn,121,gn121,-161.722,54.79641
gn,123,gn123,-161.5226,54.91736
gn,125,gn125,-161.3226,55.03832
gn,127,gn127,-161.1219,55.15928
gn,129,gn129,-160.9207,55.28023
gp,111,gp111,-162.4781761,54.10065285
gp,113,gp113,-162.3098864,54.19394021
gp,115,gp115,-162.0986778,54.30297701
gp,117,gp117,-161.8877804,54.436275
gp,119,gp119,-161.7085865,54.56834155
gp,121,gp121,-161.4935538,54.68484478
gp,123,gp123,-161.2865,54.80258
gp,125,gp125,-161.0871,54.92353
gp,127,gp127,-160.887,55.04449
gp,135,gp135,-160.0808,55.52832
gp,137,gp137,-159.8777,55.64927
gr,113,gr113,-162.0369,54.08301
gr,115,gr115,-161.8409,54.20397
gr,117,gr117,-161.6444,54.32492
gr,119,gr119,-161.4473,54.44588
gr,121,gr121,-161.2496,54.56684
gr,123,gr123,-161.0513,54.68779
gr,125,gr125,-160.8524,54.80875
gr,127,gr127,-160.6529,54.92971
gr,129,gr129,-160.4529,55.05066
gr,131,gr131,-160.2522,55.17162
gr,135,gr135,-159.849,55.41353
gr,141,gr141,-159.2395,55.7764
gr,151,gr151,-158.2111,56.38118
gt,115,gt115,-161.6043,54.08918
gt,117,gt117,-161.4083,54.21014
gt,119,gt119,-161.2117,54.3311
gt,121,gt121,-161.0146,54.45205
gt,123,gt123,-160.8168,54.57301
gt,125,gt125,-160.6185,54.69397
gt,127,gt127,-160.4196,54.81492
gt,135,gt135,-159.618,55.29875
gt,137,gt137,-159.416,55.4197
gt,139,gt139,-159.2135,55.54066
gt,141,gt141,-159.0103,55.66162
gt,145,gt145,-158.6021,55.90353
gt,151,gt151,-157.9849,56.2664
gt,153,gt153,-157.7779,56.38736
gt,155,gt155,-157.5702,56.50831
gt,163,gt163,-156.75,56.85
gt,169,gt169,-156.0833,57.355
gt,171,gt171,-155.7667,57.45
gt,173,gt173,-155.4667,57.6167
gt,197,gt197,-153.0471,59.0484
gt,199,gt199,-152.8235,59.16935
gt,201,gt201,-152.5992,59.29031
gt,203,gt203,-152.374,59.41127
gt,205,gt205,-152.148,59.53222
gt,207,gt207,-151.9212,59.65318
gu,158,gu158,-157.2167,56.6667
gv,117,gv117,-161.1729,54.09536
gv,119,gv119,-160.9769,54.21631
gv,121,gv121,-160.7803,54.33727
gv,123,gv123,-160.5831,54.45823
gv,125,gv125,-160.3854,54.57918
gv,127,gv127,-160.187,54.70014
gv,129,gv129,-159.9881,54.82109
gv,131,gv131,-159.7886,54.94205
gv,137,gv137,-159.1863,55.30492
gv,139,gv139,-158.9844,55.42588
gv,141,gv141,-158.7818,55.54683
gv,143,gv143,-158.5786,55.66779
gv,145,gv145,-158.3747,55.78875
gv,147,gv147,-158.1702,55.9097
gv,149,gv149,-157.9651,56.03066
gv,151,gv151,-157.7594,56.15162
gv,153,gv153,-157.553,56.27257
gv,155,gv155,-157.3459,56.39353
gv,159,gv159,-156.9298,56.63544
gv,161,gv161,-156.7208,56.7564
gv,163,gv163,-156.5111,56.87735
gv,165,gv165,-156.3007,56.99831
gv,167,gv167,-156.0896,57.11927
gv,169,gv169,-155.8778,57.24022
gv,171,gv171,-155.6653,57.36118
gv,173,gv173,-155.4521,57.48214
gv,175,gv175,-155.2383,57.60309
gv,177,gv177,-155.0237,57.72405
gv,179,gv179,-154.8083,57.84501
gv,189,gv189,-153.7208,58.44979
gv,191,gv191,-153.5011,58.57074
gv,193,gv193,-153.2805,58.6917
gv,195,gv195,-153.0593,58.81266
gv,197,gv197,-152.8372,58.93361
gv,199,gv199,-152.6144,59.05457
gv,201,gv201,-152.3908,59.17553
gv,203,gv203,-152.1664,59.29648
gv,205,gv205,-151.9412,59.41744
gv,207,gv207,-151.7151,59.53839
gx,119,gx119,-160.7429,54.10153
gx,121,gx121,-160.5468,54.22248
gx,123,gx123,-160.3502,54.34344
gx,125,gx125,-160.153,54.4644
gx,127,gx127,-159.9552,54.58535
gx,129,gx129,-159.7568,54.70631
gx,135,gx135,-159.1581,55.06918
gx,137,gx137,-158.9574,55.19014
gx,139,gx139,-158.756,55.31109
gx,141,gx141,-158.554,55.43205
gx,143,gx143,-158.3513,55.55301
gx,145,gx145,-158.1481,55.67396
gx,147,gx147,-157.9442,55.79492
gx,149,gx149,-157.7397,55.91587
gx,151,gx151,-157.5346,56.03683
gx,153,gx153,-157.3288,56.15779
gx,155,gx155,-157.1224,56.27874
gx,157,gx157,-156.9153,56.3997
gx,159,gx159,-156.7075,56.52066
gx,161,gx161,-156.4991,56.64161
gx,163,gx163,-156.29,56.76257
gx,165,gx165,-156.0803,56.88353
gx,167,gx167,-155.8698,57.00448
gx,169,gx169,-155.6587,57.12544
gx,171,gx171,-155.4469,57.2464
gx,173,gx173,-155.2344,57.36735
gx,175,gx175,-155.0212,57.48831
gx,177,gx177,-154.8073,57.60926
gx,179,gx179,-154.5927,57.73022
gx,181,gx181,-154.3773,57.85118
gx,183,gx183,-154.1612,57.97213
gx,185,gx185,-153.9444,58.09309
gx,187,gx187,-153.7269,58.21405
gx,189,gx189,-153.5086,58.335
gx,191,gx191,-153.2895,58.45596
gx,193,gx193,-153.0697,58.57692
gx,195,gx195,-152.8492,58.69787
gx,197,gx197,-152.6279,58.81883
gx,199,gx199,-152.4058,58.93979
gx,201,gx201,-152.1829,59.06074
gx,203,gx203,-151.9593,59.1817
gz,121,gz121,-160.3141,54.1077
gz,123,gz123,-160.118,54.22866
gz,125,gz125,-159.9214,54.34961
gz,127,gz127,-159.7241,54.47057
gz,129,gz129,-159.5263,54.59153
gz,131,gz131,-159.3279,54.71248
gz,133,gz133,-159.1289,54.83344
gz,135,gz135,-158.9293,54.9544
gz,137,gz137,-158.7291,55.07535
gz,139,gz139,-158.5283,55.19631
gz,141,gz141,-158.3269,55.31726
gz,143,gz143,-158.1249,55.43822
gz,145,gz145,-157.9222,55.55918
gz,147,gz147,-157.7189,55.68013
gz,149,gz149,-157.515,55.80109
gz,151,gz151,-157.3105,55.92205
gz,153,gz153,-157.1053,56.043
gz,155,gz155,-156.8995,56.16396
gz,157,gz157,-156.693,56.28492
gz,159,gz159,-156.4859,56.40587
gz,161,gz161,-156.2781,56.52683
gz,163,gz163,-156.0697,56.64779
gz,165,gz165,-155.8606,56.76874
gz,167,gz167,-155.6508,56.8897
gz,169,gz169,-155.4403,57.01065
gz,171,gz171,-155.2291,57.13161
gz,173,gz173,-155.0173,57.25257
gz,175,gz175,-154.8047,57.37352
gz,181,gz181,-154.1629,57.73639
gz,183,gz183,-153.9475,57.85735
gz,185,gz185,-153.7314,57.97831
gz,187,gz187,-153.5145,58.09926
gz,189,gz189,-153.297,58.22022
gz,191,gz191,-153.0786,58.34118
gz,193,gz193,-152.8596,58.46213
gz,197,gz197,-152.4191,58.70404
gz,199,gz199,-152.1978,58.825
gz,203,gz203,-151.7527,59.06691
hb,121,hb121,-160.0964887,53.98645551
hb,123,hb123,-159.8974705,54.10958321
hb,125,hb125,-159.6984523,54.23234633
hb,127,hb127,-159.4994341,54.3547454
hb,129,hb129,-159.300416,54.47678093
hb,131,hb131,-159.1013978,54.59845346
hb,133,hb133,-158.9023796,54.71976351
hb,135,hb135,-158.7012,54.83961
hb,137,hb137,-158.5016,54.96057
hb,139,hb139,-158.3014,55.08152
hb,141,hb141,-158.1006,55.20248
hb,143,hb143,-157.8991,55.32344
hb,145,hb145,-157.6971,55.44439
hb,147,hb147,-157.4944,55.56535
hb,149,hb149,-157.2911,55.68631
hb,151,hb151,-157.0871,55.80726
hb,153,hb153,-156.8826,55.92822
hb,157,hb157,-156.4715,56.17013
hb,159,hb159,-156.265,56.29109
hb,161,hb161,-156.0578,56.41204
hb,163,hb163,-155.85,56.533
hb,165,hb165,-155.6415,56.65396
hb,167,hb167,-155.4324,56.77491
hb,169,hb169,-155.2225,56.89587
hb,171,hb171,-155.012,57.01683
hb,173,hb173,-154.8008,57.13778
hb,199,hb199,-151.9903,58.71022
hb,201,hb201,-151.7689,58.83117
hb,203,hb203,-151.5468,58.95213
hb,205,hb205,-151.3238,59.07309
hd,121,hd121,-159.8788774,53.86485702
hd,123,hd123,-159.6798592,53.98834422
hd,125,hd125,-159.480841,54.11146633
hd,127,hd127,-159.2818228,54.23422388
hd,129,hd129,-159.0828047,54.35661737
hd,131,hd131,-158.8837865,54.47864734
hd,133,hd133,-158.6847683,54.60031431
hd,135,hd135,-158.4857501,54.72161881
hd,137,hd137,-158.2867319,54.84256138
hd,139,hd139,-158.0877138,54.96314257
hd,141,hd141,-157.8886956,55.08336291
hd,143,hd143,-157.674,55.20865
hd,145,hd145,-157.4726,55.32961
hd,147,hd147,-157.2705,55.45057
hd,149,hd149,-157.0678,55.57152
hd,151,hd151,-156.8644,55.69248
hd,153,hd153,-156.6605,55.81343
hd,155,hd155,-156.4559,55.93439
hd,157,hd157,-156.2506,56.05535
hd,159,hd159,-156.0447,56.1763
hd,161,hd161,-155.8382,56.29726
hd,163,hd163,-155.631,56.41822
hd,165,hd165,-155.4231,56.53917
hd,167,hd167,-155.2146,56.66013
hd,169,hd169,-155.0054,56.78109
hd,171,hd171,-154.7956,56.90204
hd,173,hd173,-154.5851,57.023
hd,197,hd197,-152.0034,58.47448
hd,199,hd199,-151.7835,58.59543
hd,201,hd201,-151.5629,58.71639
hd,203,hd203,-151.3414,58.83735
hd,205,hd205,-151.1192,58.9583
hd,207,hd207,-150.8962,59.07926
hd,209,hd209,-150.6781058,59.19703376
hd,211,hd211,-150.4600115,59.31440285
hd,213,hd213,-150.2419173,59.43136817
hd,215,hd215,-150.023823,59.54793064
hd,217,hd217,-149.8057288,59.66409115
hd,219,hd219,-149.5876345,59.77985061
hd,221,hd221,-149.3695403,59.89520995
hd,223,hd223,-149.151446,60.01017007
hd,231,hd231,-148.279069,60.46603687
hd,233,hd233,-148.0609748,60.57901479
hd,235,hd235,-147.8428805,60.69159906
hd,237,hd237,-147.6247863,60.80379063
hf,121,hf121,-159.6612661,53.74290407
hf,123,hf123,-159.4622479,53.86675124
hf,125,hf125,-159.2632297,53.99023284
hf,127,hf127,-159.0642115,54.11334937
hf,129,hf129,-158.8651934,54.23610133
hf,131,hf131,-158.6661752,54.35848926
hf,133,hf133,-158.467157,54.48051366
hf,135,hf135,-158.2681388,54.60217507
