"DY19Station","DY19LON","DY19LAT","FOCI_GRID","FOCI_GRID_LON","FOCI_GRID_LAT"
55,-157.2323,54.9672,"HH143",-157.226,54.97908
54,-157.4517,55.0927,"HF143",-157.4497,55.09387
53,-157.675,55.199,"HD143",-157.674,55.20865
52,-157.8978,55.3202,"HB143",-157.8991,55.32344
51,-158.1113,55.4328,"GZ143",-158.1249,55.43822
50,-158.3548,55.5537,"GX143",-158.3513,55.55301
49,-158.5813,55.6657,"GV143",-158.5786,55.66779
65,-158.167,55.9073,"GV147",-158.1702,55.9097
66,-157.9467,55.798,"GX147",-157.9442,55.79492
67,-157.7155,55.679,"GZ147",-157.7189,55.68013
68,-157.4952,55.5672,"HB147",-157.4944,55.56535
69,-157.2718,55.4517,"HD147",-157.2705,55.45057
70,-157.0465,55.3365,"HF147",-157.0473,55.33578
71,-156.8325,55.2228,"HH147",-156.8248,55.221
72,-156.6022,55.1033,"HJ147",-156.603,55.10621
88,-156.2055,55.3462,"HJ151",-156.2004,55.34813
87,-156.423,55.4602,"HH151",-156.4211,55.46291
86,-156.6435,55.5758,"HF151",-156.6424,55.57769
85,-156.864,55.6918,"HD151",-156.8644,55.69248
84,-157.0902,55.8098,"HB151",-157.0871,55.80726
83,-157.3127,55.9237,"GZ151",-157.3105,55.92205
82,-157.5392,56.0398,"GX151",-157.5346,56.03683
81,-157.7592,56.153,"GV151",-157.7594,56.15162
97,-157.3437,56.3947,"GV155",-157.3459,56.39353
98,-157.1263,56.2802,"GX155",-157.1224,56.27874
99,-156.9268,56.1647,"GZ155",-156.8995,56.16396
100,-156.4582,55.9323,"HD155",-156.4559,55.93439
101,-156.2365,55.8192,"HF155",-156.235,55.81961
102,-156.0142,55.706,"HH155",-156.0149,55.70482
103,-155.7953,55.5877,"HJ155",-155.7954,55.59004
116,-155.8238,56.0613,"HF159",-155.8251,56.06152
115,-156.0443,56.1742,"HD159",-156.0447,56.1763
114,-156.2707,56.2895,"HB159",-156.265,56.29109
113,-156.4848,56.402,"GX159",-156.7075,56.52066
112,-156.7085,56.5192,"GX159",-156.7075,56.52066
111,-156.9375,56.6368,"GV159",-156.9298,56.63544
123,-156.421,56.8385,"GV163",-156.5111,56.87735
124,-156.2907,56.7618,"GX163",-156.29,56.76257
125,-156.07,56.6473,"GZ163",-156.0697,56.64779
126,-155.851,56.5336,"HB163",-155.85,56.533
127,-155.63,56.4173,"HD163",-155.631,56.41822
128,-155.4217,56.3042,"HF163",-155.4126,56.30343
139,-155.2157,56.6608,"HD167",-155.2146,56.66013
138,-155.4262,56.7758,"HB167",-155.4324,56.77491
137,-155.6547,56.8885,"GZ167",-155.6508,56.8897
136,-155.8297,56.9827,"GX167",-155.8698,57.00448
135,-156.0903,57.1173,"GV167",-156.0896,57.11927
146,-155.675,57.3603,"GV171",-155.6653,57.36118
147,-155.456,57.2473,"GX171",-155.4469,57.2464
148,-155.2317,57.131,"GZ171",-155.2291,57.13161
149,-155.01,57.02,"HB171",-155.012,57.01683
150,-154.7952,56.9035,"HD171",-154.7956,56.90204
157,-154.8118,57.3777,"GZ175",-154.8047,57.37352
156,-155.0168,57.489,"GX175",-155.0212,57.48831
155,-155.2402,57.604,"GV175",-155.2383,57.60309
163,-155.2583,57.7202,"FOX61",NA,NA
162,-155.1688,57.679,"FOX60",NA,NA
161,-155.0678,57.643,"FOX59",NA,NA
160,-155.0132,57.6092,"FOX58",NA,NA
159,-154.8808,57.5588,"FOX57",NA,NA
158,-154.7818,57.5263,"FOX56",NA,NA
164,-154.804,57.6058,"GX177",-154.8073,57.60926
165,-154.5952,57.7303,"GX179",-154.5927,57.73022
166,-154.3705,57.852,"GX181",-154.3773,57.85118
167,-154.1623,57.9737,"GX183",-154.1612,57.97213
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
