x,y,xy,longitude,latitude
hb,131,hb131,-159.101,54.598
gz,133,gz133,-159.129,54.833
gx,135,gx135,-159.158,55.069
gv,137,gv137,-159.186,55.305
gt,139,gt139,-159.214,55.541
gr,141,gr141,-159.240,55.776
gv,141,gv141,-158.782,55.547
gx,139,gx139,-158.756,55.311
gz,137,gz137,-158.729,55.075
hb,135,hb135,-158.701,54.840
hd,133,hd133,-158.685,54.600
hd,137,hd137,-158.287,54.843
hb,139,hb139,-158.301,55.082
gz,141,gz141,-158.327,55.317
gx,143,gx143,-158.351,55.553
gv,145,gv145,-158.375,55.789
gt,151,gt151,-157.985,56.266
gv,149,gv149,-157.965,56.031
gx,147,gx147,-157.944,55.795
gz,145,gz145,-157.922,55.559
hb,143,hb143,-157.899,55.323
hd,141,hd141,-157.889,55.083
hf,139,hf139,-157.870,54.844
hf,143,hf143,-157.450,55.094
hd,145,hd145,-157.473,55.330
hb,147,hb147,-157.494,55.565
gz,149,gz149,-157.515,55.801
gx,151,gx151,-157.535,56.037
gv,153,gv153,-157.553,56.273
gt,155,gt155,-157.570,56.508
gu,158,gu158,-157.217,56.667
gx,155,gx155,-157.122,56.279
gz,153,gz153,-157.105,56.043
hb,151,hb151,-157.087,55.807
hd,149,hd149,-157.068,55.572
hf,147,hf147,-157.047,55.336
hh,145,hh145,-157.026,55.100
hh,149,hh149,-156.623,55.342
hf,151,hf151,-156.642,55.578
hd,153,hd153,-156.661,55.813
gz,157,gz157,-156.693,56.285
gx,159,gx159,-156.708,56.521
gv,161,gv161,-156.721,56.756
gt,163,gt163,-156.750,56.850
gv,165,gv165,-156.301,56.998
gx,163,gx163,-156.290,56.763
gz,161,gz161,-156.278,56.527
hb,159,hb159,-156.265,56.291
hd,157,hd157,-156.251,56.055
hf,155,hf155,-156.235,55.820
hh,153,hh153,-156.218,55.584
hj,155,hj155,-155.795,55.590
hh,157,hh157,-155.811,55.826
hf,159,hf159,-155.825,56.062
hd,161,hd161,-155.838,56.297
hb,163,hb163,-155.850,56.533
gz,165,gz165,-155.861,56.769
gx,167,gx167,-155.870,57.004
gv,169,gv169,-155.878,57.240
gt,171,gt171,-155.767,57.450
gv,173,gv173,-155.452,57.482
gx,171,gx171,-155.447,57.246
gz,169,gz169,-155.440,57.011
hb,167,hb167,-155.432,56.775
hd,165,hd165,-155.423,56.539
hf,163,hf163,-155.413,56.303
hh,161,hh161,-155.401,56.068
hj,159,hj159,-155.388,55.832
hl,157,hl157,-155.376,55.594
hl,161,hl161,-154.969,55.835
hj,163,hj163,-154.978,56.074
hl,165,hl165,-154.556,56.080
hn,167,hn167,-154.129,56.087
hl,169,hl169,-154.143,56.322
hj,167,hj167,-154.565,56.316
hh,165,hh165,-154.988,56.310
hf,167,hf167,-154.998,56.545
hd,169,hd169,-155.005,56.781
hf,171,hf171,-154.580,56.787
hh,173,hh173,-154.155,56.793
hd,173,hd173,-154.585,57.023
hb,171,hb171,-155.012,57.017
gx,175,gx175,-155.021,57.488
gv,177,gv177,-155.024,57.724
gx,179,gx179,-154.593,57.730
gz,181,gz181,-154.163,57.736
gx,183,gx183,-154.161,57.972
gz,185,gz185,-153.731,57.978
gx,187,gx187,-153.727,58.214
gv,189,gv189,-153.721,58.450
gv,193,gv193,-153.281,58.692
gx,191,gx191,-153.290,58.456
gz,189,gz189,-153.297,58.220
gz,193,gz193,-152.860,58.462
gx,195,gx195,-152.849,58.698
gv,197,gv197,-152.837,58.934
gx,199,gx199,-152.406,58.940
gz,197,gz197,-152.419,58.704
hb,199,hb199,-151.990,58.710
hd,197,hd197,-152.003,58.474
hh,193,hh193,-152.025,58.003
hf,191,hf191,-152.450,57.997
hj,191,hj191,-152.033,57.767
hl,189,hl189,-152.040,57.532
hn,187,hn187,-152.045,57.296
hp,185,hp185,-152.037,57.061
hn,183,hn183,-152.469,57.054
hl,185,hl185,-152.466,57.290
hl,181,hl181,-152.890,57.048
hn,179,hn179,-152.889,56.812
hp,177,hp177,-152.883,56.573
hn,175,hn175,-153.308,56.570
hl,177,hl177,-153.310,56.806
hl,173,hl173,-153.728,56.564
hn,171,hn171,-153.723,56.328
hp,169,hp169,-153.702,56.095
hr,175,hr175,-152.882,56.332
hp,181,hp181,-152.463,56.816
hr,183,hr183,-152.038,56.823
hp,189,hp189,-151.611,57.304
hn,191,hn191,-151.619,57.538
hl,193,hl193,-151.611,57.773
hj,195,hj195,-151.601,58.009
hh,197,hh197,-151.590,58.245
hf,199,hf199,-151.577,58.481
hd,201,hd201,-151.563,58.716
hb,203,hb203,-151.547,58.952
hd,205,hd205,-151.119,58.958
hf,203,hf203,-151.137,58.723
hh,201,hh201,-151.152,58.487
hj,199,hj199,-151.166,58.251
hl,197,hl197,-151.179,58.015
hn,195,hn195,-151.190,57.780
hp,193,hp193,-151.186,57.545
hr,191,hr191,-151.184,57.312
hr,195,hr195,-150.758,57.554
hp,197,hp197,-150.760,57.785
hn,199,hn199,-150.758,58.022
hl,201,hl201,-150.744,58.257
hj,203,hj203,-150.729,58.493
hh,205,hh205,-150.712,58.729
hf,207,hf207,-150.693,58.964
hd,209,hd209,-150.678,59.197
hd,213,hd213,-150.242,59.431
hf,211,hf211,-150.246,59.206
hh,209,hh209,-150.268,58.971
hj,207,hj207,-150.288,58.735
hl,205,hl205,-150.306,58.499
hn,203,hn203,-150.323,58.263
hp,201,hp201,-150.331,58.026
hr,199,hr199,-150.331,57.794
