Station,Station Number,Operation,DecLat,DecLong,Bongo (hrs),CalVET,CTD,Neuston,Station Time,Ship Speed (knots),Steam Time,Arrival Date,Depart. Date,lat,long,lat rad,long rad,long diff,distance nm
Depart Homer,,,59.6425,-151.5483,,,,,0,10,0,,5/8/2021 8:00,59.6425,151.5483,1.04,2.65,0,0
hd135,1,"CTD (no bottles), 60/20bon",54.7216,-158.4858,0.33,,0.5,,0.83,10,37.12,5/9/2021 21:07,5/9/2021 21:56,54.7216,158.4858,0.96,2.77,0.12,371.17
gz135,2,60/20bon,54.9544,-158.9293,0.33,,,,0.33,10,2.07,5/10/2021 0:01,5/10/2021 0:21,54.9544,158.9293,0.96,2.77,0.01,20.74
gt135,3,60/20bon,55.2988,-159.618,0.33,,,,0.33,10,3.14,5/10/2021 3:29,5/10/2021 3:49,55.2988,159.618,0.97,2.79,0.01,31.39
gt137,4,60/20bon,55.4197,-159.416,0.33,,,,0.33,10,1,5/10/2021 4:49,5/10/2021 5:08,55.4197,159.416,0.97,2.78,0,10
gx137,5,60/20bon,55.1901,-158.9574,0.33,,,,0.33,10,2.09,5/10/2021 7:14,5/10/2021 7:33,55.1901,158.9574,0.96,2.77,-0.01,20.86
hb137,6,60/20bon,54.9606,-158.5016,0.33,,,,0.33,10,2.09,5/10/2021 9:39,5/10/2021 9:58,54.9606,158.5016,0.96,2.77,-0.01,20.85
hf137,7,60/20bon,54.7235,-158.0691,0.33,,,,0.33,10,2.06,5/11/2021 23:45,5/12/2021 0:04,54.7235,158.0691,0.96,2.76,-0.01,20.63
hd139,8,60/20bon,54.9631,-158.0877,0.33,,,,0.33,10,1.44,5/12/2021 1:31,5/12/2021 1:50,54.9631,158.0877,0.96,2.76,0,14.39
gz139,9,60/20bon,55.1963,-158.5283,0.33,,,,0.33,10,2.06,5/12/2021 3:54,5/12/2021 4:14,55.1963,158.5283,0.96,2.77,0.01,20.61
gv139,10,60/20bon,55.4259,-158.9844,0.33,,,,0.33,10,2.08,5/12/2021 6:19,5/12/2021 6:38,55.4259,158.9844,0.97,2.77,0.01,20.79
gt141,11,60/20bon,55.6616,-159.0103,0.33,,,,0.33,10,1.42,5/12/2021 8:03,5/12/2021 8:23,55.6616,159.0103,0.97,2.78,0,14.17
gx141,12,60/20bon,55.4321,-158.554,0.33,,,,0.33,10,2.07,5/12/2021 10:28,5/12/2021 10:47,55.4321,158.554,0.97,2.77,-0.01,20.72
hb141,13,60/20bon,55.2025,-158.1006,0.33,,,,0.33,10,2.07,5/12/2021 23:45,5/13/2021 0:04,55.2025,158.1006,0.96,2.76,-0.01,20.72
