"HAUL_ID","CRUISE","FOCI_GRID","LAT","LON","YEAR","POLYGONAL_AREA","POLY_AREA_Scen4p_15"
"4MF81 G012A 1 60BON 1","4MF81","GX183",57.94833,-154.21671,1981,194.01,1325.98025719202
"4MF81 G013A 1 60BON 1","4MF81","GX181",57.88167,-154.3983,1981,151.11,470.057550943124
"4MF81 G014A 1 60BON 1","4MF81","GX181",57.72167,-154.3483,1981,59.33,634.576247278488
"4MF81 G015A 1 60BON 1","4MF81","GX181",57.76167,-154.4633,1981,77.31,186.667596680811
"4MF81 G016A 1 60BON 1","4MF81","GX179",57.80667,-154.52499,1981,108.34,483.233964833318
"4MF81 G017A 1 60BON 1","4MF81","GV179",57.86667,-154.67999,1981,140.42,NA
"4MF81 G018A 1 60BON 1","4MF81","GV179",57.915,-154.8,1981,72.85,NA
"4MF81 G019A 1 60BON 1","4MF81","GV179",57.74333,-154.73,1981,170.84,NA
"4MF81 G020A 1 60BON 1","4MF81","GX177",57.66667,-154.855,1981,134.72,794.879231004607
"4MF81 G022A 1 60BON 1","4MF81","GX175",57.535,-154.9083,1981,147.25,343.888291649478
"4MF81 G023A 1 60BON 1","4MF81","GX175",57.58667,-154.98669,1981,146.01,455.779778398642
"4MF81 G024A 1 60BON 1","4MF81","GV177",57.65167,-155.12331,1981,127.54,NA
"4MF81 G025A 1 60BON 1","4MF81","GV175",57.71,-155.23331,1981,81.22,NA
"4MF81 G026A 1 60BON 1","4MF81","GV175",57.57167,-155.285,1981,238.43,NA
"4MF81 G027A 1 60BON 1","4MF81","GV173",57.50333,-155.4417,1981,216.28,630.616131259844
"4MF81 G028A 1 60BON 1","4MF81","GT171",57.49167,-155.71671,1981,107.8,587.622539754926
"4MF81 G029A 1 60BON 1","4MF81","GV171",57.41333,-155.6167,1981,121.58,NA
"4MF81 G030A 1 60BON 1","4MF81","GV173",57.37833,-155.47501,1981,172.26,218.411201160323
"4MF81 G031A 1 60BON 1","4MF81","GX171",57.31167,-155.3783,1981,216.39,226.706312136592
"4MF81 G032A 1 60BON 1","4MF81","GX175",57.39833,-154.955,1981,257.03,440.815827197122
"4MF81 G033A 1 60BON 1","4MF81","GZ173",57.31,-155.09331,1981,211.22,355.228914098015
"4MF81 G034A 1 60BON 1","4MF81","GZ171",57.23833,-155.2383,1981,124.52,NA
"4MF81 G035A 1 60BON 1","4MF81","GZ171",57.18167,-155.1333,1981,162.6,NA
"4MF81 G036A 1 60BON 1","4MF81","HB171",57.125,-155.0083,1981,206.88,526.26863337086
"4MF81 G037A 1 60BON 1","4MF81","HB173",57.06167,-154.88831,1981,127.81,NA
"4MF81 G040A 1 60BON 1","4MF81","HB171",56.93,-154.9317,1981,240.16,726.206504508029
"4MF81 G041A 1 60BON 1","4MF81","HD169",56.84833,-155.075,1981,223.34,316.21279672402
"4MF81 G042A 1 60BON 1","4MF81","HF167",56.65,-155,1981,71.93,1140.22350792158
"4MF81 G043A 1 60BON 1","4MF81","HD169",56.71,-155.0983,1981,98.63,229.72885041466
"4MF81 G044A 1 60BON 1","4MF81","HD167",56.77,-155.215,1981,124.23,NA
"4MF81 G045A 1 60BON 1","4MF81","HB167",56.825,-155.3233,1981,174.29,223.015189390159
"4MF81 G046A 1 60BON 1","4MF81","HB167",56.88,-155.42,1981,298.9,426.007983878946
"4MF81 G047A 1 60BON 1","4MF81","GZ167",56.93833,-155.53999,1981,196.71,NA
"4MF81 G048A 1 60BON 1","4MF81","GX171",57.175,-155.40331,1981,252.91,339.212465487
"4MF81 G049A 1 60BON 1","4MF81","GZ169",57.09167,-155.4917,1981,313.01,390.613412709898
"4MF81 G050A 1 60BON 1","4MF81","GZ167",57.00167,-155.64999,1981,147.23,NA
"4MF81 G051A 1 60BON 1","4MF81","GX167",57.075,-155.7933,1981,243.15,208.791597159986
"4MF81 G052A 1 60BON 1","4MF81","GV169",57.13333,-155.90669,1981,172.95,322.312688312664
"4MF81 G053A 1 60BON 1","4MF81","GV171",57.34667,-155.7383,1981,206.59,NA
"4MF81 G054A 1 60BON 1","4MF81","GV169",57.26333,-155.87669,1981,217.91,884.497141104755
"4MF81 G055A 1 60BON 1","4MF81","GV167",57.18667,-156.02,1981,133.3,NA
"4MF81 G056A 1 60BON 1","4MF81","GV167",57.10167,-156.16,1981,241.37,NA
"4MF81 G057A 1 60BON 1","4MF81","GV165",57.015,-156.3067,1981,279.2,749.82714725597
"3SH81 G213A 2 60BON 2","3SH81","HF165",56.5,-155.23331,1981,853.74,NA
"4MF81 G058A 1 60BON 1","4MF81","GZ165",56.83,-155.95171,1981,336.55,397.639357538761
"3SH81 G214A 2 60BON 2","3SH81","HD165",56.63333,-155.4167,1981,1334.5,240.238923183727
"4MF81 G059A 1 60BON 1","4MF81","GX167",56.91333,-155.7933,1981,332.48,374.307594744928
"4MF81 G060A 1 60BON 1","4MF81","HB167",56.67333,-155.3667,1981,276.99,248.763240874667
"4MF81 G061A 1 60BON 1","4MF81","HD165",56.58833,-155.52499,1981,263.87,303.984911702566
"4MF81 G063A 1 60BON 1","4MF81","HF163",56.38,-155.4467,1981,213.29,1277.22104330962
"4MF81 G064A 1 60BON 1","4MF81","HD163",56.44667,-155.55499,1981,212.44,NA
"3SH81 G217A 2 60BON 2","3SH81","HB171",57.05,-154.9333,1981,948.57,582.651681901698
"4MF81 G065A 1 60BON 1","4MF81","HD163",56.5,-155.6667,1981,137.97,NA
"4MF81 G066A 1 60BON 1","4MF81","HB163",56.56667,-155.7583,1981,153.73,224.611877542865
"4MF81 G067A 1 60BON 1","4MF81","HB163",56.61833,-155.8783,1981,259.62,391.913887227296
"4MF81 G068A 1 60BON 1","4MF81","GZ163",56.675,-156.0083,1981,211.19,NA
"4MF81 G069A 1 60BON 1","4MF81","GZ163",56.75,-156.1033,1981,139.52,NA
"4MF81 G070A 1 60BON 1","4MF81","GX163",56.81167,-156.21001,1981,195.39,271.047942349309
"4MF81 G071A 1 60BON 1","4MF81","GX163",56.86833,-156.325,1981,334.79,692.004837163056
"3SH81 G218A 2 60BON 2","3SH81","GX173",57.27333,-155.21831,1981,968.2,NA
"4MF81 G072A 1 60BON 1","4MF81","GX161",56.7,-156.58501,1981,399.72,NA
"4MF81 G073A 1 60BON 1","4MF81","GX161",56.625,-156.46671,1981,140.96,NA
"3SH81 G219A 2 60BON 2","3SH81","GV173",57.40833,-155.39999,1981,865.72,183.607151693302
"4MF81 G074A 1 60BON 1","4MF81","GX163",56.65167,-156.285,1981,225.98,457.255048734722
"3SH81 G220A 2 60BON 2","3SH81","GT173",57.54167,-155.5833,1981,665.9,NA
"4MF81 G075A 1 60BON 1","4MF81","GZ161",56.56167,-156.35671,1981,112.58,718.638217840435
"4MF81 G076A 1 60BON 1","4MF81","GZ161",56.49167,-156.2467,1981,172.88,648.70837503759
"4MF81 G077A 1 60BON 1","4MF81","HB161",56.43,-156.1133,1981,164.72,NA
"3SH81 G221A 2 60BON 2","3SH81","GV167",57.18333,-156.0667,1981,1342.4,NA
"4MF81 G078A 1 60BON 1","4MF81","HB163",56.47,-155.8867,1981,234.29,405.099756468036
"3SH81 G222A 2 60BON 2","3SH81","GX167",57.04667,-155.8833,1981,908.14,229.942435221612
"4MF81 G079A 1 60BON 1","4MF81","HB161",56.35333,-155.9733,1981,181.03,NA
"4MF81 G080A 1 60BON 1","4MF81","HD161",56.27833,-155.83501,1981,421.33,578.799241074393
"3SH81 G223A 2 60BON 2","3SH81","GZ167",56.91333,-155.7,1981,1306.98,NA
"3SH81 G224A 2 60BON 2","3SH81","GV163",56.81333,-156.5833,1981,1496.08,NA
"3SH81 G225A 2 60BON 2","3SH81","GX161",56.68,-156.39999,1981,978.85,NA
"3SH81 G226A 2 60BON 2","3SH81","GZ161",56.53333,-156.25,1981,1014.93,141.0062708142
"3SH81 G227A 2 60BON 2","3SH81","HB161",56.38667,-156.10001,1981,1009.71,NA
"3SH81 G228A 2 60BON 2","3SH81","HD161",56.24167,-155.9333,1981,1030.83,1200.79163924855
"3SH81 G232A 2 60BON 2","3SH81","HH153",55.49167,-156.1333,1981,1306.37,2422.50865360027
"3SH81 G234A 2 60BON 2","3SH81","HH147",55.25,-156.8833,1981,2810.64,NA
"3SH81 G237A 2 60BON 2","3SH81","HB143",55.26667,-157.98331,1981,916.9,2165.9811679067
