"HAUL_ID","CRUISE","FOCI_GRID","LAT","LON","YEAR","POLYGONAL_AREA","POLY_AREA_Base_15","POLY_AREA_Scen1_15","POLY_AREA_Scen2_15","POLY_AREA_Scen3_15","POLY_AREA_Scen4_15"
"4MF81 G012A 1 60BON 1","4MF81","GX183",57.94833,-154.21671,1981,194.01,1324.24699020563,1325.98025719202,1325.98025719202,1325.98025719202,1325.98025719202
"4MF81 G013A 1 60BON 1","4MF81","GX181",57.88167,-154.3983,1981,151.11,322.975402865621,470.057550943124,470.057550945681,470.057550945681,470.057550943124
"4MF81 G014A 1 60BON 1","4MF81","GX181",57.72167,-154.3483,1981,59.33,634.345608069976,638.575509704786,634.576247278488,638.575509704445,634.576247278488
"4MF81 G015A 1 60BON 1","4MF81","GX181",57.76167,-154.4633,1981,77.31,150.25096301219,186.667596680811,186.667596680811,186.667596680811,186.667596680811
"4MF81 G016A 1 60BON 1","4MF81","GX179",57.80667,-154.52499,1981,108.34,108.357911637969,483.233964833318,483.233964831459,483.233964831459,483.233964833318
"4MF81 G017A 1 60BON 1","4MF81","GV179",57.86667,-154.67999,1981,140.42,193.424404837631,NA,NA,NA,NA
"4MF81 G018A 1 60BON 1","4MF81","GV179",57.915,-154.8,1981,72.85,535.790685191609,NA,NA,NA,NA
"4MF81 G019A 1 60BON 1","4MF81","GV179",57.74333,-154.73,1981,170.84,278.130654852155,NA,NA,NA,NA
"4MF81 G020A 1 60BON 1","4MF81","GX177",57.66667,-154.855,1981,134.72,300.667108334599,1427.31594967651,562.87478130193,1017.10549174928,794.879231004607
"4MF81 G022A 1 60BON 1","4MF81","GX175",57.535,-154.9083,1981,147.25,343.882799637858,NA,343.882799637858,NA,343.888291649478
"4MF81 G023A 1 60BON 1","4MF81","GX175",57.58667,-154.98669,1981,146.01,145.633527133478,NA,195.408224577516,NA,455.779778398642
"4MF81 G024A 1 60BON 1","4MF81","GV177",57.65167,-155.12331,1981,127.54,167.407894958967,NA,NA,NA,NA
"4MF81 G025A 1 60BON 1","4MF81","GV175",57.71,-155.23331,1981,81.22,473.120366034793,NA,670.551122880727,686.867133127073,NA
"4MF81 G026A 1 60BON 1","4MF81","GV175",57.57167,-155.285,1981,238.43,278.837902565351,NA,573.576935204071,766.606261572514,NA
"4MF81 G027A 1 60BON 1","4MF81","GV173",57.50333,-155.4417,1981,216.28,141.987587741773,1059.78079345734,NA,NA,929.364360242775
"4MF81 G028A 1 60BON 1","4MF81","GT171",57.49167,-155.71671,1981,107.8,332.914897578657,NA,NA,NA,NA
"4MF81 G029A 1 60BON 1","4MF81","GV171",57.41333,-155.6167,1981,121.58,121.106217899221,NA,557.866518487121,647.802187825173,NA
"4MF81 G030A 1 60BON 1","4MF81","GV173",57.37833,-155.47501,1981,172.26,104.303792341775,733.755016177563,NA,NA,567.128247455792
